Date,Amount,Location,Store,Fraudulent
2001-11-23,827.65,North Edward,Lee Group,False
2016-06-03,283.14,Phillipstown,Alexander Inc,False
2005-07-08,717.95,South Johnville,"Evans, Clarke and Strickland",False
2020-07-22,555.28,North Lisa,"Sanders, Armstrong and Mullins",True
1991-09-28,148.06,West Brandon,"Guzman, Garcia and Vasquez",True
2025-02-22,83.04,Teresaport,Villa-Wright,False
1980-08-18,471.07,West Davidstad,Page-Brown,True
2019-12-29,233.97,Briannafort,Bowman Group,True
1981-10-21,417.36,Hunterbury,Russell Group,True
2007-07-01,96.99,East Georgeview,"Smith, Murphy and Wilson",True
2010-01-06,710.88,Nicoleland,Hardy-Lewis,False
2001-04-18,939.01,Jenniferhaven,"Mcdowell, Carroll and Garcia",False
2005-01-03,179.65,Randyton,Moore Group,False
1991-11-18,400.61,Garciahaven,Garza LLC,True
2007-08-25,243.32,Maldonadochester,"Williams, Morton and Morgan",True
1974-11-12,700.98,Davidsonside,Morales and Sons,True
1980-11-10,581.51,Jasminefurt,Brown and Sons,True
2011-09-03,213.48,Michaelchester,Wilson Group,False
2018-05-03,393.21,New Sheri,"Snow, Robinson and Ross",True
2015-09-27,2.34,New Joyfort,Jensen and Sons,False
1978-12-24,290.8,Kellychester,"Reed, Evans and Davis",False
2025-03-21,769.56,Brandonport,Rodriguez-Smith,False
2006-11-28,295.29,Lake Michael,Jones-Matthews,True
1988-02-22,586.15,New Scott,"Moon, Montoya and Schultz",False
1994-08-31,596.34,Adamport,"Smith, Morrow and Anderson",False
2012-09-22,526.26,East Randall,Morse-Mcgrath,True
1973-07-19,19.54,North Melvin,Haynes and Sons,False
1977-10-13,917.74,South Julie,Li LLC,False
1989-09-23,285.25,Port Juan,"Mcdowell, Smith and Haney",True
2005-10-12,510.11,New Alan,Stout-Hansen,False
2002-07-26,280.4,Hoganshire,"Rocha, Little and Deleon",True
1970-11-19,987.46,North Robertland,Ford-Frey,False
1984-10-18,248.83,Carolstad,"Thomas, Wilson and Hawkins",True
1990-11-29,218.62,South Elizabethchester,Jones-Frank,True
1998-12-11,351.03,West Raymondside,Ruiz-Holmes,True
1971-01-16,716.42,New Brian,"Edwards, Patrick and Stone",False
2019-12-25,513.17,Cherylchester,Martinez-Glover,False
2009-11-30,858.3,Amyberg,Daniels-Charles,False
1981-04-25,433.27,Guerraberg,"Pennington, Ball and Rivera",True
1973-10-01,943.51,New Jameshaven,Becker-Wise,False
2016-06-05,513.16,Port Davidstad,Dorsey-Dalton,True
1972-10-29,963.77,Monicastad,Payne-Taylor,True
2018-03-03,509.84,East Laurie,"Rivera, Mahoney and Sparks",True
2008-02-08,26.39,Port Laura,Burns-Garcia,False
2017-02-16,710.27,Port Lauren,"Stone, Cantrell and Foley",True
1973-04-02,625.72,North Davidton,"Hudson, Harris and Owens",True
1978-11-03,312.56,South Selena,"Gonzalez, King and Clark",False
1997-02-18,488.21,Lake Brandyview,"Horn, Valdez and Walsh",True
2024-11-04,725.86,Jenniferfurt,Cline and Sons,True
2014-02-05,488.26,Mckenzietown,"Waller, Ingram and Fernandez",False
